0,STRESS MANAGEMENT,*,*,These days#Comma itâ€™s hard not to get overwhelmed once in a while. Between juggling work#Comma family#Comma and other commitments#Comma you can become too stressed out and busy. But you need to set time aside to unwind or your mental and physical health can suffer.,stress2.aiml
0,EXERCISE,*,*,Working out regularly is one of the best ways to relax your body and mind. Exercise also improves your mood. Focus on setting fitness goals you can meet and remember that doing any exercise is better than none at all.,stress2.aiml
0,RELAX YOUR MUSCLES,*,*,When you're stressed#Comma your muscles get tense. You can help loosen them up by stretching#Comma enjoying a massage#Comma taking a hot bath or shower#Comma and getting a good night's sleep.,stress2.aiml
0,DEEP BREATHING,*,*,Stopping and taking a few deep breaths can take the pressure off you right away. Practice deep breathing by sitting or lying down in a comfortable position#Comma closing your eyes#Comma imagining a relaxing place#Comma and taking deep breaths in and out for 5 to 10 minutes.,stress2.aiml
0,EAT WELL,*,*,Eating a regular#Comma well-balanced diet will help you feel better in general and may also help control your moods. Prioritize meals with vegetables#Comma fruit#Comma whole grains#Comma and lean protein for energy.,stress2.aiml
0,SLOW DOWN,*,*,Modern life is busy#Comma and sometimes we need to slow down. Find small ways to do that#Comma such as setting your watch a bit ahead#Comma taking the slow lane while driving#Comma and breaking down big tasks into smaller ones.,stress2.aiml
0,TAKE A BREAK,*,*,Plan real downtime to give your mind a break from stress. Engage in restful activities like meditation#Comma yoga#Comma tai chi#Comma prayer#Comma listening to music#Comma spending time in nature#Comma and more.,stress2.aiml
0,TALK ABOUT PROBLEMS,*,*,Talking about issues can lower stress. Reach out to family#Comma friends#Comma clergy#Comma doctors#Comma or therapists. Practice positive self-talk by changing negative messages to positive ones.,stress2.aiml
0,SELF-ACCEPTANCE,*,*,Accept that you can't do things perfectly and can't control everything. Slow down and maintain your sense of humor. Laughter goes a long way toward making you feel relaxed.,stress2.aiml
0,ELIMINATE TRIGGERS,*,*,Identify the biggest stress causes in your life and try to eliminate or reduce them. If unsure#Comma keep a stress journal to pinpoint triggers and find ways to remove or lessen them.,stress2.aiml
